file_name,boringssl_0,gmssl,sim_value
tasn_dec.c_tasn_dec.c,asn1_template_ex_d2i,asn1_template_ex_d2i,0.9954853067013096
x_long.c_x_long.c,long_i2c,long_i2c,0.9944322840604102
tasn_dec.c_tasn_dec.c,asn1_check_tlen,asn1_check_tlen,0.9905858726943044
pcy_cache.c_pcy_cache.c,policy_cache_new,policy_cache_new,0.9899192784789396
tasn_new.c_tasn_new.c,ASN1_primitive_new,asn1_primitive_new,0.9888127038677053
tasn_dec.c_tasn_dec.c,asn1_d2i_ex_primitive,asn1_d2i_ex_primitive,0.9867978007719018
tasn_dec.c_tasn_dec.c,asn1_ex_c2i,asn1_ex_c2i,0.9803991692653233
v3_conf.c_v3_conf.c,v3_generic_extension,v3_generic_extension,0.9794753274154758
simple.c_ecp_smpl.c,ec_GFp_simple_dbl,ec_GFp_simple_dbl,0.9788483740668776
simple.c_ecp_smpl.c,ec_GFp_simple_add,ec_GFp_simple_add,0.9784642106402761
a_utctm.c_a_utctm.c,ASN1_UTCTIME_adj,ASN1_UTCTIME_adj,0.9773803240615071
tasn_enc.c_tasn_enc.c,asn1_ex_i2c,asn1_ex_i2c,0.976461761749186
simple.c_ecp_smpl.c,ec_GFp_simple_is_on_curve,ec_GFp_simple_is_on_curve,0.9760677343501607
sqrt.c_bn_sqrt.c,BN_mod_sqrt,BN_mod_sqrt,0.9692242453194362
check.c_dh_check.c,DH_check,DH_check,0.9679345924215755
tasn_enc.c_tasn_enc.c,asn1_template_ex_i2d,asn1_template_ex_i2d,0.9669739661755188
cast.c_c_cfb64.c,CAST_cfb64_encrypt,CAST_cfb64_encrypt,0.9669687869758734
v3_alt.c_v3_alt.c,a2i_GENERAL_NAME,a2i_GENERAL_NAME,0.9635589852916222
x_name.c_x_name.c,x509_name_encode,x509_name_encode,0.9627759085738303
cast.c_c_ofb64.c,CAST_cfb64_encrypt,CAST_ofb64_encrypt,0.9619621378743248
