file_name,libressl_3,boringssl_0,sim_value
x509_sxnet.c_v3_sxnet.c,SXNET_add_id_INTEGER,SXNET_add_id_INTEGER,0.9988267453199084
x509_lu.c_x509_lu.c,X509_STORE_get_by_subject,X509_STORE_get_by_subject,0.9968351080369569
x_long.c_x_long.c,long_i2c,long_i2c,0.9964367362455395
tasn_dec.c_tasn_dec.c,asn1_check_tlen,asn1_check_tlen,0.9955477128272797
gcm128.c_gcm.c,CRYPTO_gcm128_aad,CRYPTO_gcm128_aad,0.9940261092048195
x509_prn.c_v3_prn.c,X509V3_EXT_print,X509V3_EXT_print,0.9929233919159923
pcy_map.c_pcy_map.c,policy_cache_set_mapping,policy_cache_set_mapping,0.989646675805508
ecp_smpl.c_simple.c,ec_GFp_simple_is_on_curve,ec_GFp_simple_is_on_curve,0.9884890531954608
pcy_cache.c_pcy_cache.c,policy_cache_new,policy_cache_new,0.9884240097626024
tasn_dec.c_tasn_dec.c,asn1_template_ex_d2i,asn1_template_ex_d2i,0.988044566205312
pcy_cache.c_pcy_cache.c,policy_cache_create,policy_cache_create,0.9876177878367507
x509_vfy.c_x509_vfy.c,get_delta_sk,get_delta_sk,0.9875874198868334
ecp_smpl.c_simple.c,ec_GFp_simple_dbl,ec_GFp_simple_dbl,0.9861160336995245
pcy_tree.c_pcy_tree.c,tree_link_unmatched,tree_link_unmatched,0.9858825805973565
a_strex.c_a_strex.c,do_buf,do_buf,0.9839692711203893
tasn_dec.c_tasn_dec.c,asn1_d2i_ex_primitive,asn1_d2i_ex_primitive,0.9836580079332344
ecp_smpl.c_simple.c,ec_GFp_simple_add,ec_GFp_simple_add,0.9825426997916547
x_crl.c_x_crl.c,crl_cb,crl_cb,0.9824263791758314
ecp_oct.c_oct.c,ec_GFp_simple_oct2point,ec_GFp_simple_oct2point,0.9810010850830873
curve25519.c_curve25519.c,x25519_ge_scalarmult_small_precomp,x25519_ge_scalarmult_small_precomp,0.9786493078207976
rsa_pss.c_padding.c,RSA_verify_PKCS1_PSS_mgf1,RSA_verify_PKCS1_PSS_mgf1,0.9785914120308281
x509_lu.c_x509_lu.c,x509_object_idx_cnt,x509_object_idx_cnt,0.9785770781207854
x509_conf.c_v3_conf.c,v3_generic_extension,v3_generic_extension,0.9775876228879148
c_cfb64.c_cast.c,CAST_cfb64_encrypt,CAST_cfb64_encrypt,0.9775647314664249
